category,name,skipper_last_name,skipper_first_name,nationality,url_link
IMOCA,APIVIA,Dalin,Charlie,France,https://www.routedurhum.com/fr/skipper/39
Class 40,Wisper,Cauwe,Maxime,France,https://www.routedurhum.com/fr/skipper/127
Class 40,A l'aveugle - Trim Control,Jambou,François,France,https://www.routedurhum.com/fr/skipper/132
Class 40,ALLAGRANDE PIRELLI,Beccaria,Ambrogio,Italie,https://www.routedurhum.com/fr/skipper/287
Class 40,Banque du Leman,Koster,Simon,France,https://www.routedurhum.com/fr/skipper/117
Class 40,BLEU BLANC,Thomas,Hervé,France,https://www.routedurhum.com/fr/skipper/79
Class 40,CAPTAIN ALTERNANCE,Piperol,Keni,France,https://www.routedurhum.com/fr/skipper/13
IMOCA,BIOTHERM,Meilhat,Paul,France,https://www.routedurhum.com/fr/skipper/293
Class 40,CENTRAKOR,Mergui,Mikael,France,https://www.routedurhum.com/fr/skipper/115
Ultim,MAXI BANQUE POPULAIRE XI,Le Cléac'h,Armel,France,https://www.routedurhum.com/fr/skipper/3
Ocean Fifty,Les P'tits Doudous,Tripon,Armel,France,https://www.routedurhum.com/fr/skipper/137
IMOCA,BUREAU VALLEE,Burton,Louis,France,https://www.routedurhum.com/fr/skipper/103
Rhum Mono,PEN DUICK III POUR LES ENFANTS DE ROBERT DEBRÉ,Pennarun,Arnaud,France,https://www.routedurhum.com/fr/skipper/91
Ultim,MIEUX,Le Vaillant,Arthur,France,https://www.routedurhum.com/fr/skipper/283
Class 40,Chocolats Paries - SCREB,Daramy,Jean-Baptiste,France,https://www.routedurhum.com/fr/skipper/55
Class 40,CONSCIOUS PLANET,Alexander,Donald,Afrique du sud,https://www.routedurhum.com/fr/skipper/130
Class 40,CREDIT MUTUEL,Lipinski,Ian,France,https://www.routedurhum.com/fr/skipper/8
IMOCA,Cap Agir Ensemble,Marsset,Sébastien,France,https://www.routedurhum.com/fr/skipper/116
IMOCA,CHARAL,Beyou,Jérémie,France,https://www.routedurhum.com/fr/skipper/109
IMOCA,China Dream.Haikou,Xu,Jingkun,Chine,https://www.routedurhum.com/fr/skipper/135
Rhum Multi,CMA Île-de-France - 60 000 Rebonds,Maisonneuve,Brieuc,France,https://www.routedurhum.com/fr/skipper/122
Rhum Mono,Formatives ESI Business School pour Ocean As Common,Chabaud,Catherine,France,https://www.routedurhum.com/fr/skipper/30
Class 40,ACI,Kostelic,Ivica,Croatie,https://www.routedurhum.com/fr/skipper/94
Ultim,Maxi Edmond de Rothschild,Caudrelier,Charles,France,https://www.routedurhum.com/fr/skipper/291
